date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:31:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:58%20GMT	http://dadus.co.in/cdn/fonts/montserrat/montserrat_i7.f6ec9f2a0681acc6f8152c40921d2a4d2e1a2c78.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i7.f6ec9f2a0681acc6f8152c40921d2a4d2e1a2c78.woff	(from https://dadus.co.in/)
01:31:57	20352/20352	---M--	200	added ('OK')	font/woff2	date:Wed,%2010%20Jun%202026%2002:40:27%20GMT	https://dadus.co.in/cdn/fonts/montserrat/montserrat_i7.f6ec9f2a0681acc6f8152c40921d2a4d2e1a2c78.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/montserrat/montserrat_i7.f6ec9f2a0681acc6f8152c40921d2a4d2e1a2c78.woff	(from https://dadus.co.in/)
01:31:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:58%20GMT	http://dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.2ec9ee517e3ce28d5f1e6c6e75efd8a97e59c189.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.2ec9ee517e3ce28d5f1e6c6e75efd8a97e59c189.woff2	(from https://dadus.co.in/)
01:31:59	32512/32512	---M--	200	added ('OK')	font/woff2	date:Sun,%2024%20May%202026%2005:34:38%20GMT	https://dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.2ec9ee517e3ce28d5f1e6c6e75efd8a97e59c189.woff2	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.2ec9ee517e3ce28d5f1e6c6e75efd8a97e59c189.woff2	(from https://dadus.co.in/)
01:32:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:01:59%20GMT	http://dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.323789551b85098885c8eccedfb1bd8f25f56007.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.323789551b85098885c8eccedfb1bd8f25f56007.woff	(from https://dadus.co.in/)
01:32:00	32552/32552	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20May%202026%2023:01:15%20GMT	https://dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.323789551b85098885c8eccedfb1bd8f25f56007.woff	D:/react_projects/dadus-clone/dadus.co.in/cdn/fonts/libre_baskerville/librebaskerville_n4.323789551b85098885c8eccedfb1bd8f25f56007.woff	(from https://dadus.co.in/)
01:32:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:01%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/base.css?v=171668940032063702371747027262	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/baseadbb.css	(from https://dadus.co.in/)
01:32:01	67428/67428	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Jun%202026%2017:35:29%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/base.css?v=171668940032063702371747027262	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/baseadbb.css	(from https://dadus.co.in/)
01:32:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:02%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-cart-items.css?v=123238115697927560811744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart-items8010.css	(from https://dadus.co.in/)
01:32:01	4697/4697	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202026%2002:50:37%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-cart-items.css?v=123238115697927560811744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart-items8010.css	(from https://dadus.co.in/)
